Dates,Discount
1/8/24,-18.7
1/5/24,-18.908
1/4/24,-18.952
1/3/24,-18.846
1/2/24,-18.634
12/29/23,-18.369
12/28/23,-18.057
12/27/23,-17.71
12/22/23,-17.42
12/21/23,-17.172
12/20/23,-16.909
12/19/23,-16.673
12/18/23,-16.415
12/15/23,-16.171
12/14/23,-15.957
12/13/23,-15.778
12/12/23,-15.672
12/11/23,-15.697
12/8/23,-15.691
12/7/23,-15.626
12/6/23,-15.628
12/5/23,-15.591
12/4/23,-15.469
12/1/23,-15.331
11/30/23,-15.135
11/29/23,-14.908
11/28/23,-14.599
11/27/23,-14.367
11/24/23,-14.238
11/23/23,-14.215
11/22/23,-14.131
11/21/23,-14.101
11/20/23,-13.985
11/17/23,-13.827
11/16/23,-13.684
11/15/23,-13.58
11/14/23,-13.508
11/13/23,-13.464
11/10/23,-13.41
11/9/23,-13.347
11/8/23,-13.204
11/7/23,-13.018
11/6/23,-12.829
11/3/23,-12.652
11/2/23,-12.626
11/1/23,-12.666
10/31/23,-12.738
10/30/23,-12.835
10/27/23,-13.037
10/26/23,-13.145
10/25/23,-13.3
10/24/23,-13.451
10/23/23,-13.604
10/20/23,-13.719
10/19/23,-13.78
10/18/23,-13.843
10/17/23,-13.989
10/16/23,-14.174
10/13/23,-14.301
10/12/23,-14.419
10/11/23,-14.464
10/10/23,-14.418
10/9/23,-14.215
10/6/23,-13.943
10/5/23,-13.682
10/4/23,-13.472
10/3/23,-13.289
10/2/23,-13.349
9/29/23,-13.481
9/28/23,-13.607
9/27/23,-13.747
9/26/23,-13.87
9/25/23,-13.837
9/22/23,-13.863
9/21/23,-13.972
9/20/23,-14.062
9/19/23,-14.156
9/18/23,-14.272
9/15/23,-14.288
9/14/23,-14.314
9/13/23,-14.353
9/12/23,-14.371
9/11/23,-14.452
9/8/23,-14.598
9/7/23,-14.662
9/6/23,-14.702
9/5/23,-14.755
9/4/23,-14.832
9/1/23,-14.904
8/31/23,-14.97
8/30/23,-15.069
8/29/23,-15.169
8/25/23,-15.172
8/24/23,-15.142
8/23/23,-15.063
8/22/23,-14.928
8/21/23,-14.73
8/18/23,-14.525
8/17/23,-14.368
8/16/23,-14.217
8/15/23,-14.315
8/14/23,-14.768
8/11/23,-15.177
8/10/23,-15.589
8/9/23,-16.025
8/8/23,-16.281
8/7/23,-16.263
8/4/23,-16.309
8/3/23,-16.315
8/2/23,-16.355
8/1/23,-16.648
7/31/23,-17.101
7/28/23,-17.719
7/27/23,-18.382
7/26/23,-19.01
7/25/23,-19.367
7/24/23,-19.507
7/21/23,-19.472
7/20/23,-19.396
7/19/23,-19.335
7/18/23,-19.381
7/17/23,-19.569
7/14/23,-19.796
7/13/23,-20.114
7/12/23,-20.521
7/11/23,-20.92
7/10/23,-21.204
7/7/23,-21.54
7/6/23,-21.787
7/5/23,-21.959
7/4/23,-22.072
7/3/23,-22.244
6/30/23,-22.331
6/29/23,-22.442
6/28/23,-22.545
6/27/23,-22.588
6/26/23,-22.723
6/23/23,-22.917
6/22/23,-23.103
6/21/23,-23.323
6/20/23,-23.76
6/19/23,-24.073
6/16/23,-24.324
6/15/23,-24.55
6/14/23,-24.73
6/13/23,-24.714
6/12/23,-24.692
6/9/23,-24.754
6/8/23,-24.871
6/7/23,-25.019
6/6/23,-25.142
6/5/23,-25.351
6/2/23,-25.473
6/1/23,-25.51
5/31/23,-25.567
5/30/23,-25.634
5/26/23,-25.624
5/25/23,-25.652
5/24/23,-25.642
5/23/23,-25.617
5/22/23,-25.643
5/19/23,-25.648
5/18/23,-25.595
5/17/23,-25.64
5/16/23,-25.685
5/15/23,-25.662
5/12/23,-25.641
5/11/23,-25.63
5/10/23,-25.597
5/9/23,-25.784
5/5/23,-26.15
5/4/23,-26.52
5/3/23,-26.902
5/2/23,-27.275
4/28/23,-27.433
4/27/23,-27.538
4/26/23,-27.799
4/25/23,-28.266
4/24/23,-28.716
4/21/23,-29.168
4/20/23,-29.47
4/19/23,-29.692
4/18/23,-29.72
4/17/23,-29.985
4/14/23,-30.606
